Class ID: 0, Class Name: person
Class ID: 1, Class Name: bicycle
Class ID: 2, Class Name: car
Class ID: 3, Class Name: motorcycle
Class ID: 4, Class Name: airplane
Class ID: 5, Class Name: bus
Class ID: 6, Class Name: train
Class ID: 7, Class Name: truck
Class ID: 8, Class Name: boat
Class ID: 9, Class Name: traffic light
Class ID: 10, Class Name: fire hydrant
Class ID: 11, Class Name: stop sign
Class ID: 12, Class Name: parking meter
Class ID: 13, Class Name: bench
Class ID: 14, Class Name: bird
Class ID: 15, Class Name: cat
Class ID: 16, Class Name: dog
Class ID: 17, Class Name: horse
Class ID: 18, Class Name: sheep
Class ID: 19, Class Name: cow
Class ID: 20, Class Name: elephant
Class ID: 21, Class Name: bear
Class ID: 22, Class Name: zebra
Class ID: 23, Class Name: giraffe
Class ID: 24, Class Name: backpack
Class ID: 25, Class Name: umbrella
Class ID: 26, Class Name: handbag
Class ID: 27, Class Name: tie
Class ID: 28, Class Name: suitcase
Class ID: 29, Class Name: frisbee
Class ID: 30, Class Name: skis
Class ID: 31, Class Name: snowboard
Class ID: 32, Class Name: sports ball
Class ID: 33, Class Name: kite
Class ID: 34, Class Name: baseball bat
Class ID: 35, Class Name: baseball glove
Class ID: 36, Class Name: skateboard
Class ID: 37, Class Name: surfboard
Class ID: 38, Class Name: tennis racket
Class ID: 39, Class Name: bottle
Class ID: 40, Class Name: wine glass
Class ID: 41, Class Name: cup
Class ID: 42, Class Name: fork
Class ID: 43, Class Name: knife
Class ID: 44, Class Name: spoon
Class ID: 45, Class Name: bowl
Class ID: 46, Class Name: banana
Class ID: 47, Class Name: apple
Class ID: 48, Class Name: sandwich
Class ID: 49, Class Name: orange
Class ID: 50, Class Name: broccoli
Class ID: 51, Class Name: carrot
Class ID: 52, Class Name: hot dog
Class ID: 53, Class Name: pizza
Class ID: 54, Class Name: donut
Class ID: 55, Class Name: cake
Class ID: 56, Class Name: chair
Class ID: 57, Class Name: couch
Class ID: 58, Class Name: potted plant
Class ID: 59, Class Name: bed
Class ID: 60, Class Name: dining table
Class ID: 61, Class Name: toilet
Class ID: 62, Class Name: tv
Class ID: 63, Class Name: laptop
Class ID: 64, Class Name: mouse
Class ID: 65, Class Name: remote
Class ID: 66, Class Name: keyboard
Class ID: 67, Class Name: cell phone
Class ID: 68, Class Name: microwave
Class ID: 69, Class Name: oven
Class ID: 70, Class Name: toaster
Class ID: 71, Class Name: sink
Class ID: 72, Class Name: refrigerator
Class ID: 73, Class Name: book
Class ID: 74, Class Name: clock
Class ID: 75, Class Name: vase
Class ID: 76, Class Name: scissors
Class ID: 77, Class Name: teddy bear
Class ID: 78, Class Name: hair drier
Class ID: 79, Class Name: toothbrush
